,ID,Gender,OnBoardPeakSeason,LeavePeakSeason,Turn,DormAreaCount,SalaryBonusMean,SalaryMean,LastMonthSalaryBonus,LastMonthSalary,LastMonthSalaryPct,LastMonthSalaryBonusPct,WorkOnRestDay,ShiftRatio,LiveDormRatio,WorkHourMean,AgeRange_<=20,AgeRange_21-30,AgeRange_31-40,AreaName_EastChina,AreaName_NorthChina,AreaName_NortheastChina,AreaName_NorthwestChina,AreaName_SouthCentralChina,AreaName_SouthwestChina,OnBoardMonth_01,OnBoardMonth_02,OnBoardMonth_03,OnBoardMonth_04,OnBoardMonth_05,OnBoardMonth_06,OnBoardMonth_07,OnBoardMonth_08,OnBoardMonth_09,OnBoardMonth_10,OnBoardMonth_11,OriRecruitCat_B,OriRecruitCat_C,OriContractCat_B,OriContractCat_C,DormAreaMost_A,DormAreaMost_B,DormAreaMost_C,DormAreaMost_D,DormAreaMost_E,DormAreaMost_F,DormAreaMost_G,DormAreaMost_H,DormAreaMost_I,DormAreaMost_J,DormAreaMost_K,DormAreaMost_L,DormAreaMost_M,DormAreaMost_N,DormAreaMost_O,ShiftCategoryMost_A,ShiftCategoryMost_B,ShiftCategoryMost_C,ShiftCategoryMost_D,ShiftCategoryMost_E,ShiftCategoryMost_F,ShiftCategoryMost_G,TotalDay,Quit
0,10000,1,0,0,0,1,0.098775834,0.010394832,0.098775834,0.010394832,0.860290116,0.848264518,0.2,0.3,0.6,9.333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,1
1,10001,1,0,0,0,1,0.098775834,-0.015539277,0.098775834,-0.015539277,0.860290116,0.848264518,0.25,0.25,0.875,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1
2,10002,1,0,0,0,1,0.098775834,0.270112957,0.098775834,0.201496469,0.860290116,0.848264518,0.285714286,0.80952381,0.761904762,10.46153846,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,1
3,10003,1,0,0,0,1,0.098775834,0.314259834,0.098775834,0.314259834,0.860290116,0.848264518,0.285714286,0.428571429,0.714285714,11.375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1
4,10004,1,0,0,0,1,0.098775834,0.120076515,0.098775834,0.120076515,0.860290116,0.848264518,0.285714286,0.428571429,0.857142857,9.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1
5,10005,1,0,0,0,1,0.098775834,0.032605373,0.098775834,0.032605373,0.860290116,0.848264518,0.222222222,0.222222222,0.333333333,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1
6,10006,1,0,1,0,1,0.098775834,0.571290446,0.098775834,0.490772561,0.752939995,1,0.279069767,0.139534884,0.953488372,11.06666667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,1
7,10007,1,0,1,0,1,0.098775834,0.500462148,0.098775834,0.600391925,0.667906464,1,0.285714286,0.404761905,0.952380952,11.62857143,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,39,1
8,10008,1,0,1,0,1,0.098775834,0.592117501,0.098775834,0.555375696,0.883147771,1,0.279069767,0.139534884,0.930232558,10.46666667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,41,1
9,10009,1,0,1,0,1,0.109162357,0.849066059,0.129935403,1.521462555,1.546720179,1.315457413,0.293103448,0.517241379,0.913793103,11.79166667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,57,1
